applicant_id,applicant_ssn,applicant_full_name,applicant_date_of_birth,applicant_gender,applicant_marital_status,applicant_level_of_education
Ap221958,842-01-0289,Matthew Jackson,1991-12-31,Female,Single,Doctorate
Ap771155,235-21-6513,Brian Terry,1983-11-25,Female,Divorced,Bachelor's Degree
Ap231932,426-59-7331,Bobby Aguirre,2002-07-23,Female,Separated,Doctorate
Ap465838,411-40-6357,Amy Smith,1982-11-26,Female,Single,Associate's Degree
Ap359178,241-54-9602,Kristen Hale,2007-03-26,Other,Divorced,Associate's Degree
Ap744167,572-79-6307,Brittney Rodriguez,1949-12-19,Female,Divorced,High School Diploma
Ap210268,301-32-8248,Cindy Allen,1992-03-28,Female,Separated,Associate's Degree
Ap832180,692-76-8399,Amy Dudley,1990-11-18,Other,Widowed,Master's Degree
Ap154886,566-60-4912,Gregory Rodriguez,1991-03-01,Male,Single,Associate's Degree
Ap237337,184-89-9934,Martin Huynh,1955-08-28,Female,Separated,Associate's Degree
Ap621430,544-99-8148,Terri King,1976-12-12,Male,Married,High School Diploma
Ap187498,381-19-9182,Dawn Randall,1991-02-13,Female,Separated,Doctorate
Ap999159,897-39-7755,Angela Nelson,2004-09-04,Female,Married,High School Diploma
Ap275203,755-35-1733,Carrie Flores,2004-08-29,Other,Separated,Associate's Degree
Ap291335,217-98-8303,Edward Sherman,1978-08-12,Other,Single,High School Diploma
Ap378167,044-76-8656,Anthony Campbell,1954-05-18,Male,Single,High School Diploma
Ap141090,249-40-2776,Danielle Lucas,1983-01-25,Female,Divorced,Some College
Ap429365,636-59-8182,Samuel Beard,1991-11-12,Male,Divorced,Associate's Degree
Ap164820,409-71-0489,William Barron PhD,1987-11-22,Female,Single,Master's Degree
Ap887201,770-63-4407,Meghan Chen,1970-11-28,Other,Married,Master's Degree
Ap421879,010-22-8401,Joel Pope,2006-05-17,Other,Married,Doctorate
Ap818315,236-77-2371,Lawrence Ramos,1986-07-31,Female,Married,Some College
Ap427069,572-91-3459,Tim Jenkins,1973-07-05,Other,Widowed,Doctorate
Ap876997,252-91-3748,Jenna Fisher,1985-04-30,Female,Single,Associate's Degree
Ap299041,564-41-6191,Jessica Quinn,1967-01-21,Male,Widowed,Associate's Degree
Ap891743,292-57-7046,Erica Martinez,1984-05-29,Female,Separated,Doctorate
Ap203355,132-70-5666,Courtney Adams,1954-01-25,Other,Married,Bachelor's Degree
Ap335796,489-64-8826,Dr. Richard Erickson,1988-01-08,Female,Separated,Doctorate
Ap314176,257-82-3650,Daniel Pace,1988-05-15,Female,Divorced,Doctorate
Ap284779,820-40-3374,Stephanie Johnson,1987-05-06,Other,Married,Some College
Ap447449,830-09-3708,Tiffany Scott,1966-03-28,Other,Single,Bachelor's Degree
Ap521909,538-23-0704,Morgan Perez,1997-07-14,Female,Married,Some College
Ap358795,822-79-4711,Jeffrey Thomas,1993-07-29,Female,Married,Some College
Ap586232,568-09-9653,Danielle Gallegos,1992-11-18,Other,Married,Doctorate
Ap600186,349-81-0910,Sonya Thomas,1990-09-01,Other,Divorced,Master's Degree
Ap256730,234-50-2064,Jennifer Moses,1987-02-22,Male,Separated,Master's Degree
Ap970910,158-28-2397,Jeffrey Davis,1979-12-11,Other,Separated,Associate's Degree
Ap484681,500-72-1999,Jessica Le,1999-08-24,Other,Divorced,Bachelor's Degree
Ap249503,339-39-0844,Michael Ryan,1972-05-24,Male,Single,Associate's Degree
Ap754811,233-13-4814,Ashley Dunn,1966-10-05,Other,Divorced,Associate's Degree
Ap627035,782-59-0343,Sarah Jordan,2000-12-01,Male,Divorced,Bachelor's Degree
Ap748143,701-19-4072,Mark David,1952-09-01,Male,Single,Some College
Ap552366,648-33-5474,Sara Brown,1991-05-21,Female,Widowed,High School Diploma
Ap165725,886-31-0112,Pamela Brewer,1959-10-02,Female,Divorced,Bachelor's Degree
Ap229981,550-24-2976,Sabrina Kim,2003-07-24,Male,Divorced,Master's Degree
Ap184654,862-08-7345,Frank Herrera,1955-09-04,Other,Divorced,Some College
Ap691723,129-68-5312,Sharon White,1983-05-06,Male,Single,High School Diploma
Ap419030,886-93-5498,Eric Gaines,1967-01-03,Other,Divorced,Master's Degree
Ap428947,215-24-4217,Joshua Moore,2006-05-06,Female,Separated,Associate's Degree
Ap655839,408-82-1120,Shelby Hunter,1993-08-07,Female,Divorced,Some College
Ap373538,572-20-6451,Steven Wallace,1975-04-12,Other,Single,Bachelor's Degree
Ap431236,888-13-9509,Carolyn Ortiz,1994-11-10,Other,Divorced,Some College
