applicant_id,employment_id,employment_type,employer_name,duration_of_employment_years,monthly_income_usd,bank_account_number
Ap221958,Em221958,Hourly,Harris-Jackson Corp.,7.7,17041.0,98441561.0
Ap771155,Em771155,Salaried,"Davis, Hernandez and Perry Corp.",6.6,18107.0,43092350.0
Ap231932,Em231932,Salaried,Clark-Martinez Corp.,26.4,26559.0,60210791.0
Ap465838,Em465838,Self-Employed,Mcconnell LLC LLC,7.6,6863.0,62723558.0
Ap359178,Em359178,Hourly,Rice-Brown Corp.,9.9,6183.0,22790259.0
Ap744167,Em744167,Self-Employed,Brown-Lopez LLC,12.0,16883.0,72130843.0
Ap210268,Em210268,Hourly,"Rodriguez, Richardson and Morris Corp.",28.1,4085.0,25024511.0
Ap832180,Em832180,Self-Employed,"Jackson, Kelly and Gregory LLC",15.1,18068.0,107879244.0
Ap154886,Em154886,Salaried,Garrett PLC Corp.,26.8,17970.0,78287091.0
Ap237337,Em237337,Salaried,Compton Ltd Corp.,5.3,12243.0,32957493.0
Ap621430,Em621430,Salaried,Ashley-Wilson Corp.,17.9,4642.0,59947541.0
Ap187498,Em187498,Hourly,"Arroyo, Lindsey and Cox Corp.",24.2,19812.0,29797035.0
Ap999159,Em999159,Salaried,"Owen, Glass and Wheeler Corp.",28.0,12317.0,21328059.0
Ap275203,Em275203,Self-Employed,Bush-Brooks LLC,19.1,21459.0,32569593.0
Ap291335,Em291335,Salaried,Smith Ltd Corp.,20.6,15612.0,69947311.0
Ap378167,Em378167,Salaried,Harvey-Jennings Corp.,16.6,12016.0,112133807.0
Ap141090,Em141090,Salaried,Young Group Corp.,26.8,16503.0,78315730.0
Ap429365,Em429365,Self-Employed,Deleon Inc LLC,4.1,24094.0,95524038.0
Ap164820,Em164820,Salaried,Peck Ltd Corp.,8.4,20751.0,85512254.0
Ap887201,Em887201,Self-Employed,"Luna, Trevino and Moon LLC",11.4,8358.0,59236498.0
Ap421879,Em421879,Salaried,Horton-Cohen Corp.,15.3,10277.0,73100089.0
Ap818315,Em818315,Hourly,"Munoz, Reyes and Humphrey Corp.",24.6,22838.0,114028253.0
Ap427069,Em427069,Salaried,Scott-Garrett Corp.,13.0,28001.0,98618433.0
Ap876997,Em876997,Salaried,Parker Inc Corp.,16.8,10725.0,22429614.0
Ap299041,Em299041,Salaried,"Hughes, Davis and Ramirez Corp.",25.7,16882.0,92258129.0
Ap891743,Em891743,Salaried,"Macias, Reese and Pacheco Corp.",16.6,18827.0,96243130.0
Ap203355,Em203355,Self-Employed,Barnett-Campbell LLC,8.0,12215.0,101875998.0
Ap335796,Em335796,Self-Employed,"Davidson, Patel and Wilson LLC",10.1,18109.0,40851015.0
Ap314176,Em314176,Hourly,Lee-Patel Corp.,28.2,21875.0,39487416.0
Ap284779,Em284779,Hourly,"Walsh, Sullivan and Tucker Corp.",16.3,12880.0,51104997.0
Ap447449,Em447449,Salaried,Welch-Cox Corp.,3.9,27883.0,124715873.0
