application_id,application_date,loan_type,loan_amount_requested_usd,loan_purpose,repayment_tenure_months,applicant_ssn,applicant_full_name,applicant_date_of_birth,applicant_gender,applicant_marital_status,applicant_level_of_education,applicant_street_address,applicant_city,applicant_state,applicant_zip_code,applicant_phone_number,applicant_email_address,employment_type,employer_name,duration_of_employment_years,monthly_income_usd,bank_account_number,next_of_kin_full_name,next_of_kin_relationship,next_of_kin_phone_number
USLW-APP-20241029-280,2024-10-29,Personal,44776.0,Debt Consolidation,25.0,842-01-0289,Matthew Jackson,1991-12-31,Female,Single,Doctorate,50689 Blackwell Path Suite 267,Kimberlyfurt,Arkansas,33674.0,001563265846974117,pwashington@calderon.com,Hourly,Harris-Jackson Corp.,7.7,17041.0,98441561.0,Amber Mccormick,Sibling,746557406215729
USLW-APP-20241106-963,2024-11-06,Small Business,366657.0,Equipment Purchase,47.0,235-21-6513,Brian Terry,1983-11-25,Female,Divorced,Bachelor's Degree,569 Douglas Roads Apt. 305,Kingville,Michigan,62572.0,6578968421,rosskari@gmail.com,Salaried,"Davis, Hernandez and Perry Corp.",6.6,18107.0,43092350.0,Natalie Lowe,Spouse,14061354533448
USLW-APP-20240815-890,2024-08-15,Small Business,62235.0,Expansion,25.0,426-59-7331,Bobby Aguirre,2002-07-23,Female,Separated,Doctorate,68607 Michelle Light Apt. 572,Port Martin,Arkansas,95461.0,001124908061495483,greg76@keith.net,Salaried,Clark-Martinez Corp.,26.4,26559.0,60210791.0,Erika Flores,Spouse,2391912367
USLW-APP-20250328-608,2025-03-28,Personal,48734.0,Home Improvement,56.0,411-40-6357,Amy Smith,1982-11-26,Female,Single,Associate's Degree,836 Castillo Roads,South Devinberg,Texas,57049.0,13049014065,collinsisaac@smith-williams.biz,Self-Employed,Mcconnell LLC LLC,7.6,6863.0,62723558.0,Jerry Zhang,Sibling,69583450416433
USLW-APP-20240802-408,2024-08-02,Mortgage,445307.0,Refinance,335.0,241-54-9602,Kristen Hale,2007-03-26,Other,Divorced,Associate's Degree,611 Linda Lights,Madisonchester,Oklahoma,88284.0,001148172337471056,spencermelissa@barnes.com,Hourly,Rice-Brown Corp.,9.9,6183.0,22790259.0,Drew Preston,Friend,3955043536
USLW-APP-20240908-814,2024-09-08,Small Business,179624.0,Startup Costs,79.0,572-79-6307,Brittney Rodriguez,1949-12-19,Female,Divorced,High School Diploma,989 Cristina Cove,Adamland,Oregon,54323.0,1751528764,alexanderbarbara@parker.info,Self-Employed,Brown-Lopez LLC,12.0,16883.0,72130843.0,Lisa Hines,Sibling,1253948230644
USLW-APP-20250129-750,2025-01-29,Personal,1900.0,Home Improvement,23.0,301-32-8248,Cindy Allen,1992-03-28,Female,Separated,Associate's Degree,9142 Paige Curve Apt. 168,New David,North Carolina,43570.0,959399083788285,gordon79@gmail.com,Hourly,"Rodriguez, Richardson and Morris Corp.",28.1,4085.0,25024511.0,Carl Brown,Sibling,69078333769293
USLW-APP-20240426-908,2024-04-26,Small Business,98833.0,Expansion,79.0,692-76-8399,Amy Dudley,1990-11-18,Other,Widowed,Master's Degree,1955 Hicks Manors Suite 892,North Darrenside,Texas,63731.0,587102987830446,ebrooks@bentley.com,Self-Employed,"Jackson, Kelly and Gregory LLC",15.1,18068.0,107879244.0,Miss Jacqueline Watson MD,Parent,98057388009905
USLW-APP-20240720-379,2024-07-20,Small Business,386383.0,Equipment Purchase,49.0,566-60-4912,Gregory Rodriguez,1991-03-01,Male,Single,Associate's Degree,0674 Byrd Brooks,East Ebonyport,Oklahoma,87965.0,870983355769318,elutz@quinn.com,Salaried,Garrett PLC Corp.,26.8,17970.0,78287091.0,David Hanson,Sibling,01238710630855
USLW-APP-20240727-366,2024-07-27,Small Business,109661.0,Expansion,31.0,184-89-9934,Martin Huynh,1955-08-28,Female,Separated,Associate's Degree,845 Kelly Pike Suite 835,Millerborough,Oregon,89140.0,001094734652642769,tammy83@yahoo.com,Salaried,Compton Ltd Corp.,5.3,12243.0,32957493.0,Darrell Griffith,Spouse,6140192544
USLW-APP-20241110-500,2024-11-10,Mortgage,142374.0,Refinance,200.0,544-99-8148,Terri King,1976-12-12,Male,Married,High School Diploma,289 Joshua Parkways,Jaclynfort,Arkansas,60603.0,001563367391173851,rmiller@hughes-thompson.com,Salaried,Ashley-Wilson Corp.,17.9,4642.0,59947541.0,Jacqueline Meyer,Parent,922965748162558
USLW-APP-20240415-708,2024-04-15,Mortgage,856258.0,Home Purchase,284.0,381-19-9182,Dawn Randall,1991-02-13,Female,Separated,Doctorate,3231 James Track,North Markfurt,Nevada,61695.0,89863039966595,markwinters@hotmail.com,Hourly,"Arroyo, Lindsey and Cox Corp.",24.2,19812.0,29797035.0,Jessica Pollard,Parent,8640595443
USLW-APP-20240723-276,2024-07-23,Small Business,389256.0,Inventory,71.0,897-39-7755,Angela Nelson,2004-09-04,Female,Married,High School Diploma,7477 Barry Corners,Marcusshire,Alabama,59470.0,0014341669641312,thull@turner.net,Salaried,"Owen, Glass and Wheeler Corp.",28.0,12317.0,21328059.0,George Schmidt,Spouse,17758092288
USLW-APP-20240406-854,2024-04-06,Personal,27834.0,Other,22.0,755-35-1733,Carrie Flores,2004-08-29,Other,Separated,Associate's Degree,97622 Kimberly Village,New Jeffery,Illinois,41828.0,00164334277243785,baldwinamanda@hotmail.com,Self-Employed,Bush-Brooks LLC,19.1,21459.0,32569593.0,Roger Gray,Friend,0943753181483
USLW-APP-20241203-556,2024-12-03,Small Business,304718.0,Working Capital,47.0,217-98-8303,Edward Sherman,1978-08-12,Other,Single,High School Diploma,918 Roberts Key Apt. 896,Lake Leahmouth,Alaska,86836.0,26062035758328,bryanmontoya@gmail.com,Salaried,Smith Ltd Corp.,20.6,15612.0,69947311.0,Charles Hale,Sibling,288427285456503
USLW-APP-20240602-906,2024-06-02,Personal,20962.0,Education,27.0,044-76-8656,Anthony Campbell,1954-05-18,Male,Single,High School Diploma,8894 Kara Street Suite 643,Thompsontown,South Dakota,84738.0,0019273555711488,yrobinson@ayers-thompson.info,Salaried,Harvey-Jennings Corp.,16.6,12016.0,112133807.0,Steven Stephenson,Spouse,6267915670
USLW-APP-20241121-743,2024-11-21,Auto,5569.0,Used Car Purchase,71.0,249-40-2776,Danielle Lucas,1983-01-25,Female,Divorced,Some College,2825 Santana Trafficway Apt. 794,New Ralph,Kansas,96013.0,8176512060,fgrimes@yahoo.com,Salaried,Young Group Corp.,26.8,16503.0,78315730.0,Tracey Allen,Parent,0010053629814884
USLW-APP-20240924-333,2024-09-24,Personal,20783.0,Home Improvement,30.0,636-59-8182,Samuel Beard,1991-11-12,Male,Divorced,Associate's Degree,4922 Teresa View,Heatherside,Connecticut,46700.0,4369148765397,eschneider@clayton.org,Self-Employed,Deleon Inc LLC,4.1,24094.0,95524038.0,Eric Fernandez,Friend,475810965242135
USLW-APP-20250324-439,2025-03-24,Mortgage,575763.0,Home Purchase,318.0,409-71-0489,William Barron PhD,1987-11-22,Female,Single,Master's Degree,692 Scott Lake,Phillipsshire,Oklahoma,97342.0,3685533900646,wendy52@gmail.com,Salaried,Peck Ltd Corp.,8.4,20751.0,85512254.0,Gerald Smith,Sibling,25526177306007
USLW-APP-20240606-112,2024-06-06,Auto,71937.0,New Car Purchase,35.0,770-63-4407,Meghan Chen,1970-11-28,Other,Married,Master's Degree,1714 Wayne Canyon Suite 193,Mcmahonburgh,Iowa,2069.0,0966979950564,cruzshannon@leblanc.com,Self-Employed,"Luna, Trevino and Moon LLC",11.4,8358.0,59236498.0,Randy Smith,Parent,614492672845406
USLW-APP-20240626-646,2024-06-26,Personal,38490.0,Education,36.0,010-22-8401,Joel Pope,2006-05-17,Other,Married,Doctorate,32762 Justin Garden Suite 621,Prattbury,Rhode Island,68858.0,0049141911665,nicole43@hotmail.com,Salaried,Horton-Cohen Corp.,15.3,10277.0,73100089.0,Paul Avila,Spouse,1257891483
USLW-APP-20241116-817,2024-11-16,Personal,46041.0,Debt Consolidation,36.0,236-77-2371,Lawrence Ramos,1986-07-31,Female,Married,Some College,11980 John Green,Ramoschester,Nebraska,77095.0,3781484505,vthompson@wilkins.com,Hourly,"Munoz, Reyes and Humphrey Corp.",24.6,22838.0,114028253.0,Jose Owens,Parent,4402667757148
USLW-APP-20250106-998,2025-01-06,Personal,12890.0,Education,51.0,572-91-3459,Tim Jenkins,1973-07-05,Other,Widowed,Doctorate,66996 Kathleen Summit Apt. 125,Younghaven,Connecticut,46073.0,1452401617,richard09@mcdaniel.com,Salaried,Scott-Garrett Corp.,13.0,28001.0,98618433.0,Michael Hoffman,Spouse,001608873332929708
USLW-APP-20241127-111,2024-11-27,Personal,41130.0,Education,36.0,252-91-3748,Jenna Fisher,1985-04-30,Female,Single,Associate's Degree,16621 Stephens Forest,Lake Josephland,Nebraska,45015.0,12164894137998,amanda85@yahoo.com,Salaried,Parker Inc Corp.,16.8,10725.0,22429614.0,Tyler Gibbs,Sibling,285427939449437
USLW-APP-20250301-860,2025-03-01,Personal,3167.0,Other,17.0,564-41-6191,Jessica Quinn,1967-01-21,Male,Widowed,Associate's Degree,3217 Ricardo Prairie Suite 807,Rodriguezland,Washington,87847.0,3946015094,ashley72@johnson-morales.org,Salaried,"Hughes, Davis and Ramirez Corp.",25.7,16882.0,92258129.0,Matthew Davis,Parent,12309478322670
