next_of_kin_id,applicant_id,next_of_kin_full_name,next_of_kin_relationship,next_of_kin_phone_number
Nk221958,Ap221958,Amber Mccormick,Sibling,746557406215729
Nk771155,Ap771155,Natalie Lowe,Spouse,14061354533448
Nk231932,Ap231932,Erika Flores,Spouse,2391912367
Nk465838,Ap465838,Jerry Zhang,Sibling,69583450416433
Nk359178,Ap359178,Drew Preston,Friend,3955043536
Nk744167,Ap744167,Lisa Hines,Sibling,1253948230644
Nk210268,Ap210268,Carl Brown,Sibling,69078333769293
Nk832180,Ap832180,Miss Jacqueline Watson MD,Parent,98057388009905
Nk154886,Ap154886,David Hanson,Sibling,01238710630855
Nk237337,Ap237337,Darrell Griffith,Spouse,6140192544
Nk621430,Ap621430,Jacqueline Meyer,Parent,922965748162558
Nk187498,Ap187498,Jessica Pollard,Parent,8640595443
Nk999159,Ap999159,George Schmidt,Spouse,17758092288
Nk275203,Ap275203,Roger Gray,Friend,0943753181483
Nk291335,Ap291335,Charles Hale,Sibling,288427285456503
Nk378167,Ap378167,Steven Stephenson,Spouse,6267915670
Nk141090,Ap141090,Tracey Allen,Parent,0010053629814884
Nk429365,Ap429365,Eric Fernandez,Friend,475810965242135
Nk164820,Ap164820,Gerald Smith,Sibling,25526177306007
Nk887201,Ap887201,Randy Smith,Parent,614492672845406
Nk421879,Ap421879,Paul Avila,Spouse,1257891483
Nk818315,Ap818315,Jose Owens,Parent,4402667757148
Nk427069,Ap427069,Michael Hoffman,Spouse,001608873332929708
Nk876997,Ap876997,Tyler Gibbs,Sibling,285427939449437
Nk299041,Ap299041,Matthew Davis,Parent,12309478322670
Nk891743,Ap891743,Patricia Smith,Sibling,001078333870429358
Nk203355,Ap203355,Megan Hunt,Parent,6529506609
Nk335796,Ap335796,William Miller,Friend,8162619496
Nk314176,Ap314176,Raven Fry,Sibling,9756263297
Nk284779,Ap284779,Gregory Stewart,Parent,0019070379726
Nk447449,Ap447449,Steven Porter,Sibling,3755920186
Nk521909,Ap521909,Kristen Perez,Friend,803331588323566
Nk358795,Ap358795,Kimberly King,Spouse,181808957594048
Nk586232,Ap586232,Daniel Peterson,Parent,515014072323745
Nk600186,Ap600186,Shawn Mcdonald,Friend,2025241505207
Nk256730,Ap256730,Jennifer Villarreal,Spouse,198612225315282
Nk970910,Ap970910,Jacob Baker,Sibling,6306867145
Nk484681,Ap484681,Rachel Buchanan,Sibling,1484757556
Nk249503,Ap249503,Robert Crawford,Friend,16917772582
Nk754811,Ap754811,Dana Riggs,Sibling,1673603593924458
Nk627035,Ap627035,Paige Wood,Parent,8947114823
Nk748143,Ap748143,Thomas Stanton,Sibling,1610133682
Nk552366,Ap552366,Amber Bush,Friend,1647737210872566
