Applicant SSN,Credit Score,Number of Credit Accounts,Number of Derogatory Marks
578-55-9197,850,2,0
842-01-0289,850,4,1
526-57-5741,850,8,2
195-72-1380,634,7,1
156-40-9119,510,3,0
226-65-6512,850,1,0
529-89-8582,649,12,4
313-36-8310,531,3,1
235-21-6513,642,12,2
426-59-7331,654,0,0
868-31-7966,754,4,1
166-62-3108,850,11,2
551-63-8556,729,5,0
369-23-9819,850,9,2
411-40-6357,655,4,1
521-62-5510,485,0,0
794-94-9872,850,4,0
461-46-4993,704,11,0
241-54-9602,714,13,2
838-36-7615,614,13,1
566-01-4327,798,6,2
572-79-6307,800,14,0
301-32-8248,734,8,0
,644,15,0
692-76-8399,795,3,1
264-72-9120,645,11,0
877-86-4675,712,15,0
,811,7,0
066-06-0347,496,12,2
165-85-3412,626,11,3
439-01-8801,651,11,3
470-38-4266,533,6,1
566-60-4912,628,15,5
184-89-9934,505,7,0
544-99-8148,836,13,0
651-11-3190,536,13,2
404-01-1682,650,3,0
867-74-3121,644,2,0
223-08-2065,719,4,0
381-19-9182,686,3,0
840-04-1465,635,13,3
824-92-9683,850,1,0
001-10-1932,850,0,0
830-19-0880,544,14,1
897-39-7755,513,8,2
531-19-0895,698,1,0
581-88-7244,616,11,0
755-35-1733,492,3,1
217-98-8303,844,14,1
044-76-8656,670,2,0
622-83-7400,765,1,0
707-78-1880,823,8,2
249-40-2776,600,10,2
266-01-7161,538,12,2
636-59-8182,475,6,1
187-12-8594,635,11,2
409-71-0489,521,1,0
880-70-9087,591,14,2
332-97-9584,725,8,1
342-01-0742,817,12,2
482-13-9214,778,15,3
701-18-9650,686,9,0
683-53-8925,519,2,0
468-15-1379,630,3,1
509-15-0091,653,0,0
,592,0,0
,844,10,0
579-23-3460,850,15,1
595-02-1719,839,6,1
770-63-4407,659,15,2
339-78-4152,773,1,0
146-34-6969,828,1,0
181-24-8449,850,5,0
687-62-7928,606,14,4
060-31-9492,505,9,0
627-98-2323,850,0,0
188-70-4880,492,9,2
313-41-4270,761,14,0
839-79-1095,757,2,0
010-22-8401,554,13,0
610-97-2212,697,9,3
236-77-2371,602,5,1
622-77-0998,613,8,1
785-44-7975,580,13,2
572-91-3459,470,2,0
252-91-3748,635,1,0
380-80-7584,700,13,2
174-22-1404,773,4,0
564-41-6191,504,4,0
358-81-0793,612,4,1
292-57-7046,683,1,0
132-70-5666,771,6,1
515-22-1546,706,2,0
367-36-3547,447,5,1
502-52-4826,682,0,0
513-46-2009,587,10,3
176-12-1530,444,0,0
738-38-9481,807,2,0
287-20-8388,704,3,1
467-91-0702,690,3,1
028-68-3444,609,11,1
252-12-0649,850,8,2
078-18-6979,634,4,1
638-30-0968,850,6,2
162-82-7500,641,5,1
489-64-8826,778,10,3
235-66-7959,407,0,0
165-12-6724,850,15,5
257-82-3650,563,11,0
820-40-3374,647,15,1
772-66-9017,672,9,2
886-70-9936,711,7,0
,554,7,0
795-94-3490,719,0,0
125-77-2173,646,12,3
252-02-8461,586,14,3
552-36-1797,723,10,0
503-17-6032,662,1,0
347-98-9821,809,0,0
399-04-0671,691,14,0
830-09-3708,579,3,1
538-23-0704,634,2,0
199-09-1075,509,9,1
663-60-5924,826,9,1
522-32-3280,515,3,0
822-79-4711,503,2,0
138-22-7683,606,6,0
107-45-5868,850,10,0
039-44-5919,629,15,2
496-40-4065,778,13,3
642-29-6627,592,2,0
898-80-4578,783,2,0
568-09-9653,811,9,3
661-91-6783,793,8,0
115-49-5046,507,4,0
349-81-0910,789,10,0
875-32-8475,809,12,2
762-63-6123,743,3,1
405-14-2082,752,2,0
764-99-5087,617,15,2
234-50-2064,829,14,1
728-79-9726,774,14,3
158-28-2397,830,4,0
813-86-6967,640,0,0
804-10-3792,850,12,3
625-83-8664,825,9,3
221-52-9161,516,8,0
500-72-1999,586,12,0
339-39-0844,510,12,3
711-20-3087,454,10,0
201-22-8778,850,14,3
626-79-7418,505,7,1
233-13-4814,813,5,1
724-40-0997,850,0,0
407-27-7705,592,2,0
838-69-7270,761,1,0
221-42-6885,584,12,3
782-59-0343,530,3,0
359-26-6132,527,2,0
701-19-4072,700,5,1
648-33-5474,711,15,2
886-31-0112,741,7,1
029-90-3368,557,1,0
844-57-5273,655,3,1
550-24-2976,554,2,0
858-65-5610,680,10,3
054-93-2592,662,15,1
329-58-9951,797,10,0
862-08-7345,808,15,3
315-96-7876,733,5,1
129-68-5312,732,14,2
450-22-1657,850,8,2
576-81-4661,659,8,2
827-05-5300,481,2,0
448-54-5215,731,12,4
886-93-5498,653,9,1
,691,1,0
863-64-8989,850,12,2
752-49-6173,634,2,0
429-42-9904,728,3,1
215-24-4217,850,3,0
408-82-1120,584,10,3
861-41-4221,680,14,4
572-20-6451,644,4,1
492-22-2567,567,13,2
888-13-9509,452,1,0
562-48-7174,606,5,0
520-57-4113,362,13,1
216-89-7751,795,14,4
216-74-7879,744,0,0
707-23-3861,810,8,1
243-05-6564,715,2,0
,661,6,2
891-80-2852,405,1,0
672-10-5163,850,9,2
708-14-1807,850,9,3
,513,9,0
187-75-4761,699,6,1
541-86-0290,755,13,0
402-45-1508,850,13,1
,823,3,0
244-96-6237,812,9,2
855-39-0566,592,8,0
757-61-7532,635,0,0
750-21-1361,696,7,2
362-03-7792,627,10,1
028-71-1389,850,15,5
295-93-8543,850,5,0
295-07-8482,691,0,0
306-05-9935,450,5,1
509-21-1015,609,2,0
040-83-6849,454,5,0
510-56-2112,654,3,1
365-63-0020,730,11,0
565-17-7229,502,10,0
083-35-0958,839,7,2
432-79-5173,850,0,0
,552,4,1
338-44-5846,709,1,0
569-24-5151,754,15,3
487-48-5404,620,5,1
118-28-1378,850,2,0
276-67-5774,540,11,0
665-05-9511,475,5,0
614-31-8147,588,7,0
609-89-0550,850,1,0
250-10-4057,759,4,0
327-09-2093,519,14,2
861-16-2061,512,3,1
761-03-4842,850,2,0
899-24-4918,570,13,2
266-87-2732,695,5,1
595-15-8735,559,6,2
160-08-3744,685,13,1
087-55-7659,711,6,2
425-99-8594,694,4,0
467-14-8894,638,9,2
482-61-0628,644,11,2
086-31-1134,608,8,2
781-94-5845,621,11,0
733-25-4867,850,5,1
284-81-7032,475,5,0
516-59-0704,797,10,2
251-12-0950,300,10,0
239-49-6622,766,2,0
276-09-7141,645,15,3
154-76-4729,636,13,0
,529,3,0
129-95-1782,508,15,4
,705,8,0
095-78-6044,651,8,0
638-70-0876,850,14,0
059-69-0698,693,4,0
431-38-8989,495,0,0
268-17-3155,332,2,0
215-06-5203,777,5,0
659-05-1893,495,13,2
108-33-4174,418,13,4
437-78-8093,757,2,0
740-96-0857,808,12,0
519-24-9779,617,5,0
617-53-7457,777,0,0
690-89-8160,344,13,4
295-43-1979,637,4,0
398-54-4961,729,0,0
517-76-0269,748,1,0
727-77-8736,566,11,3
103-51-6353,586,12,2
655-90-4908,568,4,1
468-33-3014,813,7,1
010-46-1575,849,15,3
872-78-6827,543,9,0
746-04-8742,622,14,3
720-72-9927,776,4,0
133-77-8961,799,0,0
419-92-5222,561,6,1
788-36-0056,625,0,0
570-96-3261,846,7,2
750-03-3964,541,10,0
747-25-9027,678,5,1
272-67-6399,709,0,0
717-68-7733,600,11,3
,655,13,1
885-25-6687,647,12,3
537-80-7238,711,8,1
027-78-2876,797,4,0
872-89-9062,518,11,1
584-16-2544,751,10,2
567-59-7058,812,3,0
672-77-6945,662,2,0
645-90-7998,568,3,0
128-23-1213,630,14,1
527-77-3793,504,15,3
218-63-1005,845,7,2
415-26-8707,850,0,0
157-07-9817,751,14,3
073-60-5242,382,9,0
090-77-6993,673,8,2
572-61-9623,555,7,2
408-59-6214,524,14,2
440-88-1376,777,10,2
558-08-0093,850,14,2
038-45-2899,575,5,0
808-51-9252,735,2,0
888-38-1685,839,0,0
094-36-2203,583,0,0
373-33-1697,653,11,1
261-21-8380,300,9,3
608-80-3503,589,8,2
093-39-5477,513,9,3
788-66-3429,843,13,4
382-42-2772,765,4,0
158-53-4773,850,15,1
635-90-5364,697,10,3
017-78-9454,641,8,1
012-13-1875,850,15,4
513-14-4447,314,3,1
229-50-5369,838,2,0
606-13-8129,624,14,3
552-23-9600,656,10,3
605-23-3052,607,5,1
231-36-5217,810,2,0
760-17-1978,802,6,1
521-06-6074,588,10,3
254-90-7351,824,14,0
248-15-2138,850,15,5
378-94-4416,486,9,2
423-89-2401,562,4,1
677-94-8684,716,11,1
638-26-6658,658,13,0
,850,2,0
398-71-6973,710,4,0
533-08-2320,679,12,2
446-75-1377,688,14,1
846-20-9741,721,4,1
068-56-3916,583,2,0
380-48-2320,752,7,0
850-81-6429,632,1,0
291-03-0034,850,13,0
790-23-8821,459,7,2
304-05-2298,417,5,0
,677,5,1
572-83-8810,850,11,1
586-72-8757,620,10,2
181-95-8000,849,5,1
462-96-1050,424,9,2
016-39-1104,684,3,0
097-71-3899,850,11,0
471-11-5631,723,4,1
108-10-2688,677,5,0
130-18-5206,554,7,0
378-84-9120,602,2,0
116-77-9468,850,12,1
464-69-4402,646,3,0
466-69-9980,736,6,0
074-96-6824,560,12,3
202-24-0683,558,10,0
012-57-6240,796,13,2
038-35-1691,850,10,0
812-95-1128,566,7,0
030-34-4211,595,4,1
229-93-9284,850,14,0
762-71-8406,848,6,0
026-10-3159,628,9,1
892-70-5395,850,9,1
054-17-9047,741,0,0
225-18-8215,684,13,1
354-04-7331,620,5,0
169-33-6582,708,14,0
455-89-9466,812,9,0
447-32-7146,746,13,0
539-19-2416,420,0,0
261-41-3739,755,11,2
552-69-2215,638,13,4
,610,9,3
261-71-0383,667,3,0
143-08-5734,850,11,3
624-88-7493,726,12,0
823-19-2114,699,6,1
025-48-9800,482,9,3
087-44-0865,850,7,2
770-78-6169,686,4,1
244-03-2827,500,11,3
305-04-6607,723,0,0
176-02-3558,795,14,4
181-92-2560,680,9,3
835-73-0324,537,11,0
292-84-2484,611,2,0
668-53-5559,793,2,0
774-78-4271,623,15,4
381-51-3903,769,13,4
472-55-5913,683,7,0
591-85-7233,604,4,1
510-20-8720,847,11,1
363-35-0870,850,11,1
,646,13,2
275-19-2618,538,13,0
498-72-0694,850,6,1
363-84-6055,471,0,0
241-99-8599,683,9,2
567-88-0941,752,3,0
316-76-6844,646,2,0
415-04-6091,610,2,0
,618,4,1
500-42-9961,825,10,2
285-84-8606,835,15,4
164-82-6116,631,15,2
375-70-5739,743,7,1
050-14-7611,515,15,4
635-95-7985,349,10,3
,715,10,3
065-22-7324,523,2,0
162-75-9204,709,7,0
819-37-1038,723,10,3
627-40-0162,567,7,1
818-39-8728,521,3,1
651-31-5066,850,5,0
138-34-4219,740,2,0
478-91-1605,850,1,0
358-84-3253,769,6,0
396-11-4136,695,3,1
290-17-2333,790,12,1
624-89-7674,574,8,0
206-76-5103,766,9,2
451-80-0938,609,13,1
058-09-8596,530,2,0
,850,6,2
371-23-9257,688,9,1
645-25-1513,407,4,1
,788,8,0
416-85-5318,548,5,0
049-80-9071,741,10,1
495-21-6347,666,13,1
813-65-3259,686,9,0
724-40-4313,729,15,3
067-33-8770,531,12,4
060-12-7268,304,10,0
443-70-0389,565,1,0
088-66-6518,742,11,0
771-14-9264,445,7,2
694-02-9481,736,2,0
851-99-5302,686,7,2
667-01-3624,735,9,2
313-01-8536,728,7,2
218-50-0289,663,15,0
339-54-4428,537,12,4
504-07-7615,757,7,2
342-95-9771,819,3,0
246-02-3914,497,5,1
263-52-3794,734,1,0
304-44-2508,645,1,0
,614,4,1
500-38-8728,608,7,2
,743,8,0
875-24-1213,577,2,0
807-54-5423,447,11,3
830-29-3339,661,10,0
322-29-4715,791,2,0
205-40-0375,777,7,1
603-27-0268,523,15,4
264-38-4276,774,13,1
182-87-0580,560,15,2
597-67-0800,850,3,1
106-11-2249,588,13,1
,422,1,0
162-15-2941,714,11,3
744-46-4753,747,12,1
112-82-0077,533,9,2
862-04-2111,553,1,0
003-13-2825,850,9,1
105-40-2081,682,5,1
632-88-0924,707,4,0
517-75-4522,789,7,0
874-47-6152,682,6,2
503-55-6589,747,6,0
417-02-3228,850,4,0
153-93-2082,516,6,1
206-13-8466,850,3,0
301-82-0342,612,13,1
842-45-2169,814,11,1
285-82-0916,799,11,1
,609,1,0
691-21-3664,648,12,2
866-12-5868,684,6,2
382-14-9741,622,1,0
467-66-3934,643,1,0
637-64-5715,571,5,1
774-02-7661,752,12,4
396-81-2562,767,4,1
824-34-5363,734,12,1
705-54-0654,664,15,2
346-89-9172,761,2,0
317-57-0308,850,2,0
490-78-0183,701,12,4
669-16-5847,702,14,0
444-81-5716,613,14,3
689-98-5227,732,2,0
404-10-6638,705,4,1
320-44-9040,662,7,0
266-09-5577,549,3,0
317-18-3447,510,0,0
529-04-4701,693,13,0
437-20-2872,478,9,2
423-61-2629,841,3,1
260-43-0831,850,3,1
754-45-3481,840,12,0
545-65-5485,777,13,1
808-39-2864,760,10,0
570-55-4655,751,5,0
617-01-8519,427,15,4
023-34-9687,614,1,0
581-66-6590,726,13,0
119-82-5273,515,8,2
461-19-2240,628,1,0
331-95-8109,850,0,0
122-51-1428,850,1,0
644-05-3878,850,3,0
717-97-3146,604,4,1
690-71-6776,485,6,0
150-10-6995,553,3,1
513-92-3179,517,5,1
,814,10,2
860-64-7860,743,8,1
095-70-8004,556,12,3
062-98-7999,835,7,2
231-52-6092,706,9,2
