Application ID,Application Date,Loan Type,Loan Amount Requested (USD),Loan Purpose,Repayment Tenure (Months),Applicant SSN,Applicant Full Name,Applicant Date of Birth,Applicant Gender,Applicant Marital Status,Applicant Level of Education,Applicant Street Address,Applicant City,Applicant State,Applicant Zip Code,Applicant Phone Number,Applicant Email Address,Employment Type,Employer Name,Duration of Employment (Years),Monthly Income (USD),Bank Account Number,Next of Kin Full Name,Next of Kin Relationship,Next of Kin Phone Number
USLW-APP-20240807-400,2024-08-07,Small Business,274689.0,Working Capital,60.0,578-55-9197,David Rogers,1968-01-20,Male,Widowed,Master's Degree,1019 Austin Land Apt. 506,North Bradleyville,Wisconsin,47173,962.752.7108,lisacarter@lester-ramirez.com,Unemployed,,0.0,0.0,080071622,Larry Stevenson,Parent,+1-918-819-4960x5451
USLW-APP-20241029-280,2024-10-29,Personal,44776.0,Debt Consolidation,25.0,842-01-0289,Matthew Jackson,1991-12-31,Female,Single,Doctorate,50689 Blackwell Path Suite 267,Kimberlyfurt,Arkansas,33674,001-563-265-8469x74117,pwashington@calderon.com,Hourly,Harris-Jackson Corp.,7.7,17041.0,098441561,Amber Mccormick,Sibling,746.557.4062x15729
USLW-APP-20240812-584,2024-08-12,Small Business,48711.0,Startup Costs,53.0,526-57-5741,Christopher Barrera,1983-04-16,Female,Divorced,Associate's Degree,779 King Center Apt. 031,Lake Lisamouth,North Carolina,52032,7050502116,iharmon@ewing.net,Salaried,,12.1,6194.0,065558063,Peter Mccarthy,Parent,716-624-0448
USLW-APP-20240523-293,2024-05-23,,383884.0,Equipment Purchase,53.0,195-72-1380,Amy Vaughn,1979-03-05,Male,Widowed,,97012 Kathryn Fields,Rodriguezchester,Virginia,48328,001-284-507-7810x4369,donnabaker@chandler.com,Salaried,Martin PLC Corp.,1.3,26214.0,033556628,Amy Barry,Sibling,
USLW-APP-20240713-856,2024-07-13,Small Business,359557.0,Startup Costs,46.0,156-40-9119,Shawn Hall,1949-04-19,Other,Separated,Associate's Degree,275 Cody Rue,Kimberlyfurt,Virginia,,001-927-491-9000x2344,klinerobyn@gmail.com,Hourly,"Payne, Santos and Smith Corp.",9.1,4306.0,099052506,Sally Henry,Spouse,407-384-7643
USLW-APP-20240428-278,2024-04-28,Small Business,114916.0,Inventory,50.0,226-65-6512,James Jackson,,Female,Widowed,Bachelor's Degree,300 Porter Plain Apt. 874,Lake Heatherborough,South Dakota,16819,(763)5993275x6821,jacksonrachel@gmail.com,Salaried,"Martin, Thornton and Carroll Corp.",24.3,28385.0,010817021,Samuel Wright,Friend,552-856-9113x008
USLW-APP-20250123-685,2025-01-23,,1216.0,Vacation,19.0,529-89-8582,Jessica Rose,1977-12-26,Male,Divorced,Doctorate,59653 Joel Garden,Phillipview,Arkansas,61930,473.742.1119x243,jamielewis@jones-jacobson.com,Self-Employed,Joyce-Bolton LLC,10.4,21501.0,124039164,Michelle Church,,285.021.0664
USLW-APP-20241011-480,2024-10-11,Personal,,Other,58.0,313-36-8310,Ashley Johnston,1963-10-08,Female,Married,Bachelor's Degree,73386 James Park Suite 330,Seanton,Rhode Island,22034,001-933-8968x750,codyroberts@fischer.com,Salaried,"Wilson, Cunningham and Brady Corp.",16.4,9341.0,115806241,,Sibling,(539)995-4838x98484
USLW-APP-20241106-963,2024-11-06,Small Business,366657.0,Equipment Purchase,47.0,235-21-6513,Brian Terry,1983-11-25,Female,Divorced,Bachelor's Degree,569 Douglas Roads Apt. 305,Kingville,Michigan,62572,(657)896-8421,rosskari@gmail.com,Salaried,"Davis, Hernandez and Perry Corp.",6.6,18107.0,043092350,Natalie Lowe,Spouse,+1-406-135-4533x448
USLW-APP-20240815-890,2024-08-15,Small Business,62235.0,Expansion,25.0,426-59-7331,Bobby Aguirre,2002-07-23,Female,Separated,Doctorate,68607 Michelle Light Apt. 572,Port Martin,Arkansas,95461,001-124-908-0614x95483,greg76@keith.net,Salaried,Clark-Martinez Corp.,26.4,26559.0,060210791,Erika Flores,Spouse,2391912367
USLW-APP-20250122-238,2025-01-22,Small Business,208063.0,Working Capital,60.0,868-31-7966,Diana Sparks,,Male,Separated,Bachelor's Degree,889 Johnson Meadows,Grayville,Illinois,10468,814.627.7714x35155,,Salaried,Andrews Ltd Corp.,20.7,21780.0,051300115,Leslie Alvarado,Parent,021.566.9190x853
USLW-APP-20240727-731,2024-07-27,Personal,28988.0,,13.0,166-62-3108,Glenda Brown,1994-08-23,Other,Single,,,Wilsonburgh,Illinois,63987,530-083-7077,jjohnson@jimenez.com,Salaried,"Baker, Jones and Tucker Corp.",18.1,15096.0,088779670,Janet Green,Sibling,+1-182-108-1236x611
USLW-APP-20250215-259,2025-02-15,Personal,9283.0,Debt Consolidation,20.0,551-63-8556,Travis Wise,1967-10-04,Other,Widowed,Bachelor's Degree,6735 Brock Keys Suite 699,South Edward,Oklahoma,73947,134-085-2793x37310,,Salaried,Scott-Campos Corp.,24.9,11545.0,010244212,Kristina Sullivan,Sibling,+1-738-621-3030
